Stock,Condition,Status,Type,Year,Model,Length,DryWeight,GVWR,Price,Location,Image
"Stock #09715Kitsap, WA",Used,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAB 320 Black CanyonStock #09715Kitsap, WA",26,5200,7400,"$38,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0904202619142226/unit_photo_2026090407142226089174.jpg
"Stock #09718Everett, WA",Used,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAB 320 BD Black CanyonStock #09718Everett, WA",26,5200,7400,"$38,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tech_drawing/imgh_400x300-m0708202618174750/unit_tech_drawing_202607080617475034629111.png
"Stock #09767Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAB 320 Lithium Package Black CanyonStock #09767Portland, OR",26,5200,7400,"$42,995",Portland / Clackamas,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0908202620272524/unit_photo_202609080827252413301698.jpg
"Stock #09564Everett, WA",Used,On Lot,Travel Trailer,2026,"New 2026 nuCamp RV TAB 360 Black CanyonStock #09564Everett, WA",26,5200,7400,"$43,995",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0630202618260917/unit_photo_202606300626091774885528.jpg
"Stock #09576Kitsap, WA",Used,On Lot,Travel Trailer,2026,"New 2026 nuCamp RV TAB 360 Black CanyonStock #09576Kitsap, WA",26,5200,7400,"$43,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0710202618454781/unit_photo_202607100645478137967733.jpg
"Stock #09662Portland, OR",New,On Lot,Travel Trailer,2026,"New 2026 nuCamp RV TAB 360 Black CanyonStock #09662Portland, OR",26,5200,7400,"$43,995",Portland / Clackamas,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0805202618181894/unit_photo_202608050618189473902519.jpg
"Stock #09706Kitsap, WA",Used,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAB 400 Black CanyonStock #09706Kitsap, WA",26,5200,7400,"$51,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0819202622341736/unit_photo_202608191034173629970233.jpg
"Stock #09714Tacoma, WA",Used,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAB 400 Black CanyonStock #09714Tacoma, WA",26,5200,7400,"$51,995",Tacoma,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0903202617125201/unit_photo_202609030512520144444510.jpg
"Stock #09687Everett, WA",Used,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAB 400 Black CanyonStock #09687Everett, WA",26,5200,7400,"$51,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tech_drawing/imgh_400x300-m0708202619305670/unit_tech_drawing_202607080730567051169512.png
"Stock #09661Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAB 400 Hidden BunkStock #09661Portland, OR",26,5200,7400,"$51,995",Portland / Clackamas,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0803202615142005/unit_photo_202608030314200576348314.jpg
"Stock #09752Kitsap, WA",Used,On Lot,Travel Trailer,2027,"New 2027 nuCamp RV TAG SE Std. ModelStock #09752Kitsap, WA",26,5200,7400,Call for Price,Kitsap / Poulsbo,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0902202620333809/unit_photo_202609020833380922416548.jpg
"Stock #20694Everett, WA",Used,On Lot,Travel Trailer,2019,"Used 2019 CrossRoads RV Cruiser Aire CR28RDStock #20694Everett, WA",26,5200,7400,"$29,995",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0417202619154469/unit_photo_202508090217059084025638.jpg
"Stock #57738Portland, OR",Used,On Lot,Travel Trailer,2024,"Used 2024 Northwood Arctic Fox Grande Ronde 36-5VSStock #57738Portland, OR",26,5200,7400,"$72,987",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_30.png?modified=0428202519374618
"Stock #11848Everett, WA",Used,On Lot,Travel Trailer,2027,"New 2027 Forest River RV Flagstaff Classic 290CFKStock #11848Everett, WA",26,5200,7400,"$76,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #11849Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 Forest River RV Flagstaff Classic 290CFKStock #11849Portland, OR",26,5200,7400,"$76,995",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #59339Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 Northwood Arctic Fox Rapid 255MREStock #59339Portland, OR",26,5200,7400,"$76,995",Portland / Clackamas,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0618202614400260/unit_photo_202606180240026037306840.jpg
"Stock #59338Everett, WA",Used,On Lot,Travel Trailer,2027,"New 2027 Northwood Arctic Fox Rapid 255MREStock #59338Everett, WA",26,5200,7400,"$76,995",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0709202620380105/unit_photo_202607090838010573207281.jpg
"Stock #59331Kitsap, WA",Used,On Lot,Travel Trailer,2027,"New 2027 Northwood Arctic Fox Rapid 255MREStock #59331Kitsap, WA",26,5200,7400,"$76,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_202308160528437389684343.png?modified=0428202519374618
Stock #ARCTICFOX325MKFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Northwood Arctic Fox NXT 325MKStock #ARCTICFOX325MKFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
Stock #ARCTICFOX365VSFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Northwood Arctic Fox NXT 365VSStock #ARCTICFOX365VSFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201903220729503234416164.png?modified=0428202519374618
Stock #AFRAPID225RBSFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Northwood Arctic Fox Rapid 225RBSStock #AFRAPID225RBSFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201903220729503234416164.png?modified=0428202519374618
Stock #AFRAPID235RLSFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Northwood Arctic Fox Rapid 235RLSStock #AFRAPID235RLSFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201903220729503234416164.png?modified=0428202519374618
Stock #AFRAPID255MREFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Northwood Arctic Fox Rapid 255MREStock #AFRAPID255MREFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201903220729503234416164.png?modified=0428202519374618
Stock #GLACIERPEAK26RKSFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Outdoors RV Glacier Peak Titanium Series F26RKSStock #GLACIERPEAK26RKSFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201903220729503234416164.png?modified=0428202519374618
Stock #GLACIERPEAK27KVSFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Outdoors RV Glacier Peak Titanium Series F27KVSStock #GLACIERPEAK27KVSFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
Stock #GLACIERPEAK27MKSFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Outdoors RV Glacier Peak Titanium Series F27MKSStock #GLACIERPEAK27MKSFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
Stock #GLACIERPEAK28RKSFactory Incoming,New,Inbound / Incoming,Travel Trailer,2027,New 2027 Outdoors RV Glacier Peak Titanium Series F28RKSStock #GLACIERPEAK28RKSFactory Incoming,26,5200,7400,Call for Price,Unassigned / General,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201903220729503234416164.png?modified=0428202519374618
"Stock #90588Everett, WA",Used,On Lot,Travel Trailer,2017,"Used 2017 Dutchmen RV Triton 3451Stock #90588Everett, WA",26,5200,7400,"$36,995",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0417202619154469/unit_photo_202508210832487464913656.jpg
"Stock #T0080Everett, WA",Used,On Lot,Travel Trailer,2021,"Used 2021 Jayco Seismic 4125Stock #T0080Everett, WA",26,5200,7400,"$79,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_202308160526492219081831.png?modified=0428202519374618
